Year,Player,GradStatus,School,Conference,Team,Round,PickNumber,Height,Weight,FortyYdSpr,JmpVert,BPress,BrJump,ThreeCone,RunShut,BMI,Player_Type,Position_Type,Position,Drafted,filter_$
2019,Andre Dillard\DillAn00,    2.00,Washington St.,NFC,PhiladelphiaEagles,Early,22,1.9558,142.8815966,4.96,73.66,24,299.72,7.44,4.4,37.35316539,offense,offensive_lineman,OT,Yes,1
2019,Diontae Johnson\JohnDi01,    2.00,Toledo,AFC,PittsburghSteelers,Middle,66,1.778,83.00740371,4.53,85.09,15,312.42,7.09,4.45,26.25749655,offense,backs_receivers,WR,Yes,1
2019,Zach Gentry\GentZa00,    2.00,Michigan,AFC,PittsburghSteelers,Middle,141,2.032,120.2019781,4.9,74.93,12,279.4,7.4,4.53,29.11147478,offense,backs_receivers,TE,Yes,1
2019,Deebo Samuel\SamuDe00,    2.00,South Carolina,NFC,SanFrancisco49ers,Early,36,1.8034,97.06876718,4.48,99.06,15,309.88,7.03,4.14,29.8466356,offense,backs_receivers,WR,Yes,1
2019,Kaden Smith\SmitKa00,    1.00,Stanford,NFC,SanFrancisco49ers,Late,176,1.9558,115.6660544,4.92,81.28,15,274.32,7.08,4.47,30.23827674,offense,backs_receivers,TE,Yes,1
2019,D.K. Metcalf\MetcDK00,    1.00,Mississippi,NFC,SeattleSeahawks,Early,64,1.905,103.4190604,4.33,102.87,27,340.36,7.38,4.5,28.49775363,offense,backs_receivers,WR,Yes,1
2019,Gary Jennings\JennGa00,    1.00,West Virginia,NFC,SeattleSeahawks,Middle,120,1.8542,97.06876718,4.42,93.98,20,322.58,7.32,4.15,28.23360669,offense,backs_receivers,WR,Yes,1
2019,Travis Homer\HomeTr00,    1.00,Miami (FL),NFC,SeattleSeahawks,Late,204,1.778,91.17206637,4.48,100.33,17,330.2,7.07,4.31,28.84020112,offense,backs_receivers,RB,Yes,1
2019,Jamel Dean\DeanJa00,    2.00,Auburn,NFC,TampaBayBuccaneers,Middle,94,1.8542,93.44002822,4.3,104.14,16,330.2,7.02,4.19,27.17814476,defense,defensive_back,CB,Yes,1
2019,Amani Hooker\HookAm00,    1.00,Iowa,AFC,TennesseeTitans,Middle,116,1.8034,95.2543977,4.48,93.98,14,312.42,6.81,4.1,29.28875456,defense,defensive_back,S,Yes,1
2019,Terry McLaurin\McLaTe00,    2.00,Ohio St.,NFC,WashingtonRedskins,Middle,76,1.8288,94.34721296,4.35,95.25,18,317.5,7.01,4.15,28.2095819,offense,backs_receivers,WR,Yes,1
2019,Kelvin Harmon\HarmKe00,    2.00,North Carolina St.,NFC,WashingtonRedskins,Late,206,1.8796,100.2439138,4.6,82.55,18,297.18,7.15,4.32,28.37442971,offense,backs_receivers,WR,Yes,1
