V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241450,V241459,V241463,V241471,V241501x,V241521,V241621,V243052
360494,4,2,1,1,1,1,3,5,5,4,3,3,2,3,2,3,3,2,2,1,2,85,70,4,2,2,3,2,3,3,3,4,3,3,2,2,4,4,2,4,4,1,2,2,3,DS
362604,2,2,1,2,1,2,3,5,5,3,2,3,4,3,3,2,4,4,2,2,2,30,70,4,5,4,5,3,3,3,2,3,2,1,1,1,2,2,3,6,2,1,6,1,3,DS
362831,1,2,1,5,1,2,1,2,2,3,5,5,5,2,5,3,4,5,2,2,2,15,100,5,4,5,5,4,1,2,2,3,1,1,1,1,2,4,5,1,2,2,2,4,1,DS
363094,3,1,1,5,1,1,1,5,5,1,1,1,1,3,2,2,1,1,1,2,1,100,15,2,1,1,2,4,4,5,5,5,3,2,2,1,3,3,1,1,2,2,2,0,2,DS
367473,2,1,1,5,1,1,1,1,1,2,5,3,1,3,2,1,2,2,1,1,2,70,15,1,1,1,3,1,2,5,5,5,2,3,1,1,4,2,0,3,4,1,2,0,2,DS
371601,2,1,1,2,1,1,1,1,1,3,4,5,3,2,4,2,4,4,1,2,2,40,40,1,2,1,2,2,3,5,5,5,3,1,1,2,4,2,3,1,5,1,1,1,1,DS
371622,5,2,1,5,1,2,4,5,5,1,1,1,1,1,1,2,2,1,2,2,2,30,50,4,5,5,4,2,2,2,2,3,2,2,1,2,3,4,3,6,3,1,1,1,1,DS
372767,2,1,1,5,1,1,2,1,1,3,4,3,3,2,4,3,4,4,1,2,1,85,50,3,3,3,3,2,5,5,4,5,4,1,2,2,3,2,1,4,5,1,1,0,2,DS
373614,3,1,1,5,1,2,1,2,5,5,2,2,2,2,2,1,5,2,2,2,2,50,70,4,5,3,5,1,1,3,2,4,3,1,1,2,4,4,0,6,2,1,1,0,2,DS
376331,4,1,1,5,1,2,3,5,5,3,1,1,1,2,1,1,2,1,2,2,1,50,50,3,3,3,3,3,2,3,3,4,1,2,2,2,4,2,1,6,2,1,1,1,3,DS
378425,2,2,1,2,1,2,1,2,2,2,4,3,2,2,5,4,5,4,2,2,-8,30,60,3,3,3,4,2,3,3,3,5,4,1,1,1,4,2,3,1,5,1,1,2,1,DS
381884,2,2,1,5,1,2,1,2,2,4,3,2,3,2,3,2,4,1,2,2,2,15,60,5,4,5,4,5,2,2,2,2,1,1,1,1,3,3,1,1,4,1,1,0,1,DS
384766,2,1,1,2,1,1,1,1,2,3,3,1,1,3,3,4,3,3,1,1,2,60,30,3,2,2,3,2,4,5,5,5,1,1,2,1,4,2,2,1,4,2,1,0,2,DS
388445,2,1,1,5,1,1,1,1,1,5,4,3,2,3,2,1,3,2,1,1,1,85,30,1,1,1,2,2,5,5,5,5,5,2,1,1,4,3,1,1,4,2,1,0,1,DS
389971,2,1,1,5,1,1,2,5,5,3,1,1,2,1,1,2,1,1,1,1,1,85,70,1,1,1,1,2,5,5,5,5,5,1,1,2,3,2,0,3,1,2,1,0,2,DS
391981,4,2,1,5,1,2,2,5,5,2,3,2,3,2,3,3,3,3,2,2,1,30,60,5,5,4,4,4,2,3,3,4,3,1,1,1,3,3,0,6,2,1,1,0,3,DS
399909,4,2,1,5,1,2,2,2,2,3,4,4,4,2,4,1,4,3,2,2,-8,30,60,4,5,3,4,3,2,1,2,3,2,2,1,2,1,3,2,1,3,1,1,1,3,DS
