student_id,year,country,mother_educ,father_educ,gender,math,read,science,stu_wgt,computer,internet,room,television,computer_n,car,book,wealth,escs
3455,2012,CAN,5,5,male,384.2577,417.2338,493.0436,69.1868,yes,yes,yes,3+,2,1,0-10,Moderate,HIgher
12417605,2018,CAN,4,3,male,460.676,467.457,503.581,18.99184,yes,yes,yes,1,1,1,0-10,Moderate,Lower
12402140,2018,CAN,5,5,male,597.53,600.11,573.198,1.86287,yes,yes,yes,3+,3+,2,201-500,High,HIgher
12408081,2018,CAN,5,5,female,471.464,521.586,467.101,14.20306,yes,yes,yes,3+,3+,2,0-10,Moderate,Lower
12416738,2018,CAN,5,5,male,428.052,317.604,364.833,16.97523,yes,yes,yes,3+,3+,3+,more than 500,High,HIgher
12546,2012,CAN,5,5,female,614.6674,608.8427,640.3767,26.4098,yes,yes,yes,3+,3+,2,201-500,Moderate,HIgher
11754,2012,CAN,5,5,female,583.5099,541.3263,578.8325,44.0772,yes,yes,yes,2,3+,3+,101-200,Moderate,HIgher
20242,2012,CAN,5,5,female,426.3203,520.4359,425.2518,6.379,no,no,yes,3+,0,2,101-200,Moderate,HIgher
15637,2012,CAN,5,2,male,318.2038,335.4354,353.1705,1.8125,yes,yes,yes,3+,1,2,0-10,Moderate,Lower
12428448,2018,CAN,5,5,male,516.172,601.801,507.963,49.03772,yes,yes,yes,3+,3+,2,26-100,Moderate,HIgher
21071,2012,CAN,5,5,male,635.2313,565.5936,655.2965,23.5179,yes,yes,no,1,1,1,101-200,Low,HIgher
19121,2012,CAN,5,5,male,684.3044,630.5512,700.9884,24.5266,yes,yes,yes,1,2,2,101-200,Moderate,Lower
12420516,2018,CAN,5,5,female,463.421,457.992,503.512,6.99902,yes,yes,yes,3+,3+,2,11-25,Moderate,HIgher
15212,2012,CAN,5,3,female,504.993,503.1994,479.0563,1.919,yes,yes,yes,3+,2,2,11-25,Moderate,Lower
12430085,2018,CAN,5,5,male,449.896,407.974,397.6,3.81339,yes,yes,yes,3+,3+,3+,26-100,High,HIgher
17360,2012,CAN,5,5,female,539.1105,505.5823,497.7061,4.4495,yes,yes,yes,3+,3+,3+,11-25,Moderate,Lower
20786,2012,CAN,5,5,male,572.2153,516.3542,569.6009,2.1827,yes,yes,yes,3+,2,2,11-25,Moderate,Lower
12409010,2018,CAN,5,5,male,598.956,700.892,645.285,12.18165,yes,yes,yes,3+,3+,3+,101-200,High,HIgher
12430858,2018,CAN,5,5,male,643.795,636.753,607.854,8.52404,yes,yes,yes,3+,3+,1,101-200,Moderate,HIgher
12401573,2018,CAN,5,5,female,376.031,430.306,461.658,18.12426,no,yes,yes,2,2,2,26-100,Moderate,HIgher
12425688,2018,CAN,5,5,male,749.476,698.988,659.819,45.0042,yes,yes,yes,1,3+,1,26-100,Moderate,HIgher
12352,2012,CAN,5,5,female,344.6876,454.7465,338.2507,1.1395,yes,yes,yes,2,1,2,101-200,Moderate,Lower
12404200,2018,CAN,5,5,female,627.568,499.333,535.186,22.22848,yes,yes,yes,3+,3+,2,26-100,Moderate,HIgher
12426791,2018,CAN,2,5,male,311.91,321.532,434.602,1.25919,yes,yes,yes,2,0,2,11-25,Moderate,Lower
21371,2012,CAN,5,5,female,586.0804,569.5243,564.752,5.2949,yes,yes,yes,3+,3+,1,26-100,Moderate,HIgher
12431265,2018,CAN,5,5,female,466.675,530.765,531.452,4.03339,yes,yes,yes,3+,2,3+,11-25,Moderate,HIgher
12417747,2018,CAN,5,5,female,443.559,404.575,379.591,24.02298,yes,yes,yes,3+,2,1,11-25,Moderate,HIgher
12407292,2018,CAN,5,5,male,466.731,499.739,497.699,2.32018,yes,yes,yes,2,1,2,0-10,Moderate,Lower
12405490,2018,CAN,5,5,female,708.987,633.138,618.794,14.32558,yes,yes,yes,1,2,1,more than 500,Moderate,HIgher
12406070,2018,CAN,5,5,male,489.957,393.203,467.854,25.59682,yes,yes,yes,1,2,2,101-200,Moderate,Lower
11900,2012,CAN,5,3,male,464.7219,487.4842,500.5968,51.2498,yes,yes,yes,3+,2,2,0-10,Moderate,HIgher
13249,2012,CAN,5,3,male,415.4152,344.2568,392.3349,15.9715,yes,yes,yes,3+,2,2,26-100,Moderate,Lower
12403634,2018,CAN,5,5,female,561.049,605.627,583.266,3.68132,yes,yes,yes,2,2,1,26-100,Moderate,HIgher
1663,2012,CAN,5,3,female,537.942,506.0589,446.5125,27.8166,yes,yes,yes,2,2,3+,11-25,Moderate,Lower
12402708,2018,CAN,5,5,male,480.06,465.711,506.123,4.48091,yes,yes,yes,3+,3+,1,26-100,Moderate,HIgher
16700,2012,CAN,5,5,female,435.0444,471.427,452.0142,1.2632,yes,yes,yes,3+,1,1,201-500,Moderate,HIgher
14547,2012,CAN,3,5,female,482.4038,548.2368,608.9519,13.7202,yes,yes,yes,2,1,3+,26-100,Moderate,Lower
12419772,2018,CAN,5,5,male,324.651,383.307,325.739,23.7562,no,yes,yes,2,1,0,0-10,Moderate,Lower
12430942,2018,CAN,5,5,male,446.097,492.873,518.507,1.57995,yes,yes,yes,2,2,1,0-10,Moderate,Lower
12420323,2018,CAN,5,5,male,620.319,734.894,733.053,5.04967,yes,yes,yes,3+,3+,3+,201-500,High,HIgher
12412594,2018,CAN,5,5,female,485.472,448.334,414.563,3.52698,yes,yes,yes,1,1,2,11-25,Moderate,Lower
12424685,2018,CAN,5,4,female,458.904,517.351,488.757,2.43611,yes,yes,yes,1,2,3+,101-200,Moderate,HIgher
12412596,2018,CAN,5,5,female,506.002,528.139,489.253,1.62158,yes,yes,yes,3+,3+,2,11-25,Moderate,HIgher
15445,2012,CAN,5,5,female,490.8942,566.4265,553.3756,5.3707,yes,yes,yes,2,2,2,201-500,Moderate,Lower
4497,2012,CAN,5,5,female,568.5543,581.5184,573.2376,2.3714,yes,yes,no,1,3+,1,11-25,Moderate,HIgher
323,2012,CAN,5,5,male,438.238,371.2021,421.3353,3.2231,yes,yes,yes,3+,2,3+,101-200,Moderate,Lower
718,2012,CAN,5,5,female,519.0918,478.9729,505.0727,1.2389,yes,yes,yes,3+,2,2,101-200,Moderate,HIgher
7057,2012,CAN,5,5,male,488.6353,356.8473,448.937,12.375,yes,yes,yes,3+,3+,2,0-10,High,HIgher
12428009,2018,CAN,5,5,male,531.078,531.468,595.369,5.00968,no,yes,yes,3+,1,2,0-10,Moderate,Lower
9914,2012,CAN,5,5,female,568.8659,600.6613,595.8971,27.5411,yes,yes,yes,3+,3+,2,201-500,Moderate,Lower
16182,2012,CAN,5,5,male,427.1771,302.8764,314.1925,3.7964,yes,yes,yes,2,2,1,26-100,Moderate,HIgher
12421,2012,CAN,5,5,male,421.4909,360.2957,407.2548,1.2911,yes,yes,yes,3+,1,1,26-100,Moderate,Lower
12413746,2018,CAN,5,5,female,488.292,632.28,598.268,5.02376,yes,yes,yes,3+,2,3+,201-500,Moderate,HIgher
12412469,2018,CAN,5,5,female,461.454,540.497,523.725,3.93095,yes,yes,yes,3+,2,3+,26-100,Moderate,Lower
7466,2012,CAN,5,5,female,551.7292,521.2302,592.5401,35.6093,yes,yes,yes,2,3+,2,more than 500,Moderate,HIgher
12412877,2018,CAN,5,5,female,608.048,650.102,616.281,1.57812,yes,yes,yes,1,3+,1,more than 500,Moderate,HIgher
12400698,2018,CAN,5,5,female,555.568,566.914,587.275,2.6613,yes,yes,yes,3+,2,2,201-500,Moderate,HIgher
17692,2012,CAN,5,3,female,332.8478,398.1122,446.1395,2.9075,yes,no,yes,2,2,2,101-200,Moderate,HIgher
12420308,2018,CAN,5,4,female,568.265,549.736,554.614,23.44612,yes,yes,yes,3+,2,3+,26-100,Moderate,Lower
20739,2012,CAN,5,5,male,568.0869,615.0736,632.2641,9.0343,yes,yes,yes,2,3+,1,101-200,Moderate,HIgher
12413314,2018,CAN,5,5,female,498.695,679.99,645.51,22.66278,yes,yes,yes,2,2,2,26-100,Moderate,HIgher
13600,2012,CAN,3,5,female,454.0505,362.2888,521.9508,7.3049,yes,yes,yes,3+,3+,2,26-100,Moderate,Lower
12423676,2018,CAN,5,5,female,435.965,538.487,498.991,5.25689,yes,yes,yes,3+,3+,3+,101-200,Moderate,HIgher
6633,2012,CAN,5,5,male,464.4882,480.5874,554.5878,5.946,yes,yes,yes,3+,3+,2,more than 500,Moderate,HIgher
12411968,2018,CAN,5,5,female,408.995,472.835,439,1.57812,yes,yes,yes,3+,3+,2,201-500,Moderate,HIgher
12408294,2018,CAN,5,5,female,423.527,543.722,591.054,18.97626,yes,yes,yes,3+,3+,3+,11-25,Moderate,HIgher
8741,2012,CAN,5,5,male,554.4555,530.8694,536.3111,2.067,yes,yes,no,3+,3+,2,26-100,Moderate,HIgher
12414771,2018,CAN,5,5,male,376.225,310.33,364.02,17.0466,no,yes,no,3+,2,0,0-10,Low,HIgher
12403127,2018,CAN,5,5,male,624.799,570.11,594.494,9.46561,yes,yes,yes,3+,3+,2,26-100,Moderate,HIgher
9953,2012,CAN,5,5,female,666.1552,687.9559,694.1813,8.9349,yes,yes,yes,3+,2,3+,201-500,Moderate,Lower
17315,2012,CAN,5,5,male,573.6174,549.1537,566.6169,13.3713,yes,yes,yes,2,1,2,26-100,Moderate,HIgher
6025,2012,CAN,2,2,male,666.311,642.9813,668.2581,23.6733,yes,yes,yes,3+,3+,2,26-100,Moderate,Lower
12402585,2018,CAN,5,5,female,401.399,482.249,320.256,15.99885,yes,yes,yes,3+,3+,2,26-100,Moderate,Lower
12425459,2018,CAN,5,4,female,586.971,645.119,615.683,14.65376,yes,yes,yes,3+,3+,1,101-200,Moderate,HIgher
15033,2012,CAN,5,3,male,454.2063,464.5485,518.2208,1.9433,yes,yes,yes,3+,2,3+,26-100,Moderate,Lower
19332,2012,CAN,5,3,male,539.9673,448.269,553.4689,13.4665,yes,yes,yes,0,1,3+,26-100,Moderate,HIgher
6599,2012,CAN,5,5,female,593.2466,511.6191,474.4871,27.5396,yes,yes,yes,3+,2,3+,26-100,Moderate,HIgher
12420480,2018,CAN,5,5,female,421.218,442.369,412.754,9.20764,yes,yes,yes,3+,3+,3+,26-100,High,HIgher
12404773,2018,CAN,5,5,male,578.752,699.463,664.06,22.00119,yes,yes,yes,1,3+,1,201-500,Moderate,HIgher
20940,2012,CAN,5,5,female,492.4521,452.1253,503.1145,3.3809,yes,yes,yes,3+,2,0,26-100,Moderate,Lower
12429325,2018,CAN,5,5,male,496.508,351.181,439.731,21.77376,yes,yes,yes,3+,3+,3+,more than 500,High,HIgher
2681,2012,CAN,5,5,female,519.2475,582.3127,549.0862,53.2159,yes,yes,yes,3+,3+,1,11-25,Moderate,HIgher
7826,2012,CAN,5,5,female,428.1119,521.9451,468.8922,5.3954,yes,yes,yes,3+,2,2,26-100,Moderate,HIgher
12407979,2018,CAN,5,5,male,550.172,537.684,480.32,4.44103,yes,yes,yes,3+,3+,2,201-500,Moderate,HIgher
12424761,2018,CAN,5,5,female,518.809,574.286,535.716,3.32263,yes,yes,yes,1,0,0,11-25,Low,HIgher
20388,2012,CAN,5,5,male,590.8319,594.4636,529.4107,32.1522,yes,yes,no,3+,3+,2,26-100,Moderate,HIgher
18047,2012,CAN,5,5,male,527.5043,419.399,487.4487,4.4353,yes,yes,no,3+,3+,2,more than 500,Moderate,HIgher
12394,2012,CAN,5,5,male,579.6931,598.2328,614.0806,1.2911,no,yes,yes,3+,2,2,more than 500,Moderate,Lower
25494,2012,MEX,3,3,female,400.2259,354.4251,381.1451,22.1854,no,no,yes,3+,3+,3+,0-10,Moderate,Lower
48408049,2018,MEX,2,3,male,341.255,405.933,436.266,198.70861,yes,yes,yes,2,3+,3+,101-200,Moderate,Lower
690,2012,MEX,4,5,male,492.53,437.8438,381.9843,31.6091,yes,yes,yes,2,2,1,26-100,Moderate,HIgher
25906,2012,MEX,1,2,male,360.9674,314.3442,380.4924,14.8977,no,no,no,2,0,0,11-25,Low,Lower
48404150,2018,MEX,3,3,female,522.757,605.044,546.859,117.26435,no,yes,no,1,0,1,11-25,Low,Lower
18954,2012,MEX,2,2,female,417.9078,411.6154,426.5573,4.4,yes,yes,yes,1,1,1,0-10,Low,Lower
13995,2012,MEX,5,5,female,480.1449,555.3856,523.163,50.2168,yes,no,no,1,1,1,26-100,Low,HIgher
48405982,2018,MEX,2,5,female,238.076,273.714,243.954,207.71325,yes,yes,no,0,1,3+,11-25,Moderate,Lower
2144,2012,MEX,4,5,female,470.564,531.4768,419.3771,22.2211,yes,yes,no,3+,3+,1,26-100,Moderate,HIgher
