Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2015,12,Female,17,Right-Handed,160,21,160,1,Car,25,0.379,45,Hockey (Field),100,100,100,100,100,100,20.5,Right foot,60,60,Same length,November,Fall,Yes,Yes,Seafood,Water,Other,7,11,5,Yes - dial-up connection,In person,50,70,24,1,40,2,10,10,5,10,30,3,9,5,A lot,Graduate degree,Punk rock,Fly,Happy,Friend,Education/Youth development
USA,CA,2018,7,Female,12,Right-Handed,152,22,153.5,2,Car,35,0.348,39,Basketball,700,0,600,200,1000,1000,21.7,Right foot,70,60,Index finger,June,Winter,No,No,Desserts,Water,Mathematics and statistics,9,8.5,4,Yes - broadband connection,Other,30,300,6,1,4,5,10,9.5,0,1,5,0,0,2,Very little,Other,Other,Invisibility,Happy,Other,Other
USA,CA,2012,12,Male,17,Left-Handed,193,29,194,2,Car,7,0.29,41,Basketball,385,663,241,706,856,856,29,Same length,105,105,Same length,October,Summer,Yes,No,Fruit,Water,Mathematics and statistics,6,9,5,Yes - broadband connection,Text messaging,100,93,2,0,28,7,5,0,0,2,15,3,0,4,Very little,Graduate degree,Other,Telepathy,Rich,Religious figure,Religious
USA,CA,2010,6,Female,10,Right-Handed,157,24,163,2,Car,10,0.554,39,Other,1000,1000,1000,1000,1000,1000,24,Same length,80,85,Ring finger,October,Spring,No,No,Rice/Noodle dishes,Water,Art,9,10,4,Yes - other,In person,0,1,5,1,10,18,6,2,0,1,1,4,0,2,A lot,Graduate degree,Pop,Fly,Famous,Actor,"Wildlife, animals"
USA,CA,2021,12,Male,15,Right-Handed,191,30,195,1,Car,5,0.454,34,Football (American),500,500,50,50,800,1000,30,Same length,90,100,Ring finger,November,Summer,No,No,Pizza/Pasta,Water,History,8,8,5,Yes - broadband connection,Text messaging,20,24,14,7,7,4,20,7,14,4,7,0,0,5,Very little,Some college,Rhythm and blues (R&B),Freeze time,Rich,Relative,Other
USA,CA,2019,9,Male,15,Right-Handed,169,28,178,2,Car,8,0.42,54,Other,588,898,711,1000,353,176,26,Right foot,78,85,Ring finger,December,Winter,No,No,Desserts,Coffee,Art,8,6,3,Yes - broadband connection,In person,1,0,0.7,0.07,1,5,0,16,4,0,18,0,0,1,Some,Graduate degree,Techno/Electronic,Freeze time,Rich,Other,Environment
USA,GA,2022,12,Male,17,Left-Handed,180,25,171,1,Car,35,0.355,35,Walking/Hiking,791,668,524,775,583,872,24,Right foot,95,100,Ring finger,May,Winter,No,No,Meat,Water,Mathematics and statistics,7,9,3,Yes - broadband connection,Text messaging,39,173,4,3,5,3,2,1,7,3,13,4,10,3,Some,Graduate degree,Pop,Fly,Rich,Other,Health
USA,CA,2018,12,Female,18,Right-Handed,165.6,22.5,148,1,Car,60,0.438,51,None,1000,500,1000,1000,500,500,22.5,Same length,70,68,Index finger,November,Winter,No,No,Vegetables,Water,Art,8,12,2,Yes - broadband connection,Text messaging,100,100,16,2,5,3,0,2,12,50,100,20,0,0,A lot,Undergraduate degree,Rap/Hip hop,Telepathy,Happy,Other,"Wildlife, animals"
USA,CA,2022,12,Male,16,Right-Handed,181,28,193,1,Car,15,0.33,35,Other,800,700,500,1000,900,900,27,Right foot,95,100,Ring finger,October,Fall,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,7,3,Yes - broadband connection,Internet chat or instant messaging,100,100,10,10,4,4,2,30,10,5,30,0,0,5,Very little,Undergraduate degree,Rap/Hip hop,Telepathy,Rich,Relative,Environment
USA,CA,2016,11,Male,16,Right-Handed,183,23,180,2,Car,5,0.417,41,Lacrosse,1000,1000,1000,1000,1000,1000,24,Left foot,85,95,Ring finger,November,Winter,Yes,No,Rice/Noodle dishes,Juice,Science,8,7,3,Yes - broadband connection,Text messaging,100,100,12,0,12,2,12,4,2,12,24,0,0,0,A lot,Graduate degree,Jazz,Telepathy,Happy,Friend,Health
USA,CA,2012,12,Male,15,Right-Handed,165,37,165,2,Car,20,0.316,15,Other,900,900,700,800,900,900,37,Same length,80,78,Index finger,June,Winter,No,No,Salads,Water,Languages,7,9,4,Yes - broadband connection,Internet chat or instant messaging,0,0,5,0,9,4,3,1,0,0,9,5,0,4,Some,Graduate degree,Classical,Freeze time,Happy,Teacher,Health
USA,CA,2016,12,Male,17,Right-Handed,170.2,24,169,2,Car,10,0.412,59,Other,888,777,1000,500,999,999,25,Left foot,80,70,Index finger,April,Fall,No,No,Meat,Sports drink,Other,8,8,4,Yes - dial-up connection,Text messaging,250,175,25,10,23,14,23,1,23,13,12,12,12,12,A lot,Graduate degree,Rap/Hip hop,Invisibility,Happy,Sports person,"Wildlife, animals"
USA,CA,2018,12,Male,17,Right-Handed,170,18,169,2,Car,10,0.431,52,Other,800,800,800,800,500,500,18,Same length,63,76,Ring finger,April,Winter,Yes,No,Meat,Water,Computers and technology,6,5,8,Yes - broadband connection,Internet chat or instant messaging,0,0,15,1,15,8,0,35,2,2,2,0,0,5,Very little,Some college,Classical,Freeze time,Rich,Friend,Education/Youth development
