Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours
USA,CT,2020,12,Male,17,Right-Handed,185.42,25,162,1,Car,6,0.342,61,Soccer,400,400,500,600,900,1000,28,Same length,80,70,Index finger,February,Fall,No,No,Seafood,Water,History,6.5,8,5,Yes - broadband connection,Text messaging,150,100,15,1,10,14,14,7,14,8,20
USA,TN,2020,12,Male,17,Right-Handed,190.5,13,74.5,1,Car,5,0.309,51,Football (American),1000,1000,1000,1000,1000,1000,12,Right foot,100,90,Ring finger,July,Winter,No,No,Pizza/Pasta,Water,Computers and technology,7,9,4,Yes - other,In person,100,100,10,25,10,17,25,50,25,50,150
USA,TN,2020,6,Female,12,Right-Handed,152.4,20,163.8,0,Car,22.5,0.655,45,None,1000,1000,1000,1000,10,5,20,Same length,90,80,Index finger,November,Fall,Yes,No,Other,Water,Music,6,9,2,Yes - other,Text messaging,0,0,0,0,3,1,0,5,0,0,2
USA,CT,2020,12,Male,17,Left-Handed,185.4,30,178,1,Car,10,0.33,45,Baseball/Softball,1000,1000,1000,1000,800,800,30,Same length,90,80,Ring finger,August,Summer,Yes,No,Pizza/Pasta,Milk,History,8,10,5,Yes - other,Internet chat or instant messaging,20,20,5,1,1,10,15,10,10,5,5
USA,TN,2020,6,Female,11,Right-Handed,164,22,166,1,Car,5,0.65,32,Swimming,0,100,0,10,100,10,25,Left foot,80,7,Index finger,July,Summer,No,No,Other,Water,Art,7,5,4,Yes - dial-up connection,In person,4,5,1,1,8,38,30,20,10,0,10
USA,TN,2020,12,Female,16,Right-Handed,157.48,23,161.2,2,Bus,10,0.675,45,Swimming,1000,1000,1000,1000,700,900,23,Same length,50,60,Ring finger,September,Summer,No,No,Meat,Water,Languages,8,7,5,Yes - other,Text messaging,20,20,9,2,10,2,0,5,6,6,4
USA,TN,2020,12,Female,17,Right-Handed,167,24,63,1,Car,10,0.478,49,Other,800,503,707,400,200,600,24.5,Left foot,85,20,Index finger,February,Fall,Yes,No,Seafood,Water,Science,7,10,6,Yes - broadband connection,Text messaging,50,100,10,2,5,2,2,0,20,60,18
USA,CT,2020,12,Female,17,Right-Handed,64,26,120,1,Car,8,0.443,49,Swimming,1000,1000,765,642,513,930,26,Same length,85,80,Index finger,December,Summer,Yes,Yes,Fruit,Other,Art,6,7.5,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",26,128,10,1.5,10,3,7.5,2,18,18,7
USA,TN,2020,12,Male,17,Right-Handed,166,25,174,1,Car,15,0.405,44,Athletics,899,700,600,900,800,950,24,Right foot,47,54,Ring finger,May,Fall,No,No,Meat,Soft drink (caffeinated),History,6,6,4,Yes - broadband connection,Cell phone,80,75,15,25,3,3,12,5,1,15,10
USA,CT,2020,12,Male,17,Right-Handed,186,27,190,1,Car,5,0.409,36,Athletics,500,500,500,600,600,800,27.5,Left foot,101,106,Ring finger,February,Summer,Yes,No,Meat,Water,Mathematics and statistics,8,9,8,Yes - broadband connection,In person,20,20,3,1,3,4,6,3,0,3,6
