Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2020,7,Female,13,Ambidextrous,172,26,170,2,Car,10,0.346,33,Other,100,100,100,100,50,50,26,Same length,85,86,Ring finger,October,Spring,Yes,No,Rice/Noodle dishes,Energy drink,Mathematics and statistics,8,7,5,Yes - other,In person,0,21,30,0,15,20,0,0,0,0,120,0,0,15,Some,Graduate degree,Pop,Telepathy,Healthy,Relative,Education/Youth development
USA,FL,2017,12,Male,16,Right-Handed,170,25,170,2,Car,7,0.394,34,Basketball,500,500,800,400,200,500,26,Left foot,94,102,Ring finger,June,Summer,Yes,No,Meat,Water,Physical education,7,10,4,Yes - broadband connection,Text messaging,150,200,15,3,15,5,10,2,5,20,2,15,2,3,Some,Other,Rap/Hip hop,Invisibility,Happy,Relative,Health
USA,OH,2020,12,Male,17,Ambidextrous,183.5,28.5,183,3,Bus,25,0.528,38,Walking/Hiking,900,401,900,950,950,800,29.5,Left foot,100,116,Ring finger,July,Summer,Yes,No,Seafood,Tea,English,5.5,7,2,Yes - broadband connection,Text messaging,10,8,0,12,2,4,0,10,9,10,20,20,12,20,Some,Some college,Punk rock,Freeze time,Rich,Musician or singer,"Arts, culture, sports"
USA,FL,2018,12,Male,17,Right-Handed,172,25,175,2,Car,15,0.237,40,Football (American),300,100,350,400,650,900,25,Same length,101,109,Ring finger,December,Summer,Yes,No,Seafood,Water,Science,7,8,4,Yes - other,In person,5,7,8,2,7,24,8,12,1,1,48,10,0,0,Very little,Graduate degree,Pop,Telepathy,Happy,Relative,Health
USA,FL,2013,11,Female,16,Right-Handed,169,23,172,2,Car,15,0.6,48,Dancing,900,800,750,850,600,550,23,Same length,105,108,Ring finger,March,Spring,Yes,No,Seafood,Milk,Music,6,10,3,Yes - broadband connection,Text messaging,25,25,3,1,35,10,5,14,20,14,80,2,6,3,A lot,Graduate degree,Other,Telepathy,Healthy,Relative,Health
USA,OH,2023,7,Female,13,Right-Handed,154,19,155,1,Walk,15,0.42,42,Athletics,797,626,963,444,70,123,20,Left foot,75,75,Same length,August,Summer,No,No,Pizza/Pasta,Water,History,8,7,5,Yes - other,Text messaging,50,60,50,0,5,40,24,2,50,26,7,3,1,3,Some,Graduate degree,Pop,Telepathy,Happy,Teacher,Education/Youth development
USA,OH,2021,12,Female,18,Right-Handed,152.4,23,150,1,Car,15,0.323,42,Walking/Hiking,615,1000,364,529,802,1000,22,Same length,101,75,Index finger,November,Summer,Yes,Yes,Pizza/Pasta,Water,Music,7,9,4,Yes - dial-up connection,Text messaging,50,50,30,10,5,10,5,1,4,10,25,20,22,2,A lot,Graduate degree,Pop,Telepathy,Happy,Friend,International aid
USA,OH,2018,12,Female,17,Right-Handed,165.1,22,150,1,Car,15,0.45,52,Other,706,765,310,535,43,513,23,Left foot,65,70,Ring finger,June,Fall,No,No,Meat,Water,Art,8,10,5,Yes - other,Text messaging,20,20,25,3,1,10,7,0,10,20,3,0,26,10,Some,Graduate degree,Country,Invisibility,Happy,Other,"Wildlife, animals"
USA,OH,2015,8,Male,14,Right-Handed,170.2,24.5,170.2,1,Car,25,0.356,43,Football (American),700,500,200,800,400,1000,24.5,Same length,87,87,Same length,November,Summer,Yes,No,Meat,Sports drink,Mathematics and statistics,7,12,6,No internet connection,Text messaging,500,612,50,5,4,4,7,2,3,30,1,2,15,5,A lot,Graduate degree,Rap/Hip hop,Invisibility,Rich,Sports person,"Wildlife, animals"
USA,FL,2021,12,Female,17,Right-Handed,175,24,152,1,Car,15,0.392,34,Other,600,504,756,417,497,250,24,Same length,89,95,Ring finger,July,Summer,No,Yes,Pizza/Pasta,Water,English,7,6,5,Yes - broadband connection,Text messaging,10,18,10,5,5,4,40,0,20,20,20,10,0,0,A lot,Graduate degree,Pop,Telepathy,Happy,Actor,"Wildlife, animals"
USA,FL,2018,11,Male,17,Right-Handed,175,25,184,2,Car,45,0.785,55,Other,800,500,400,700,300,500,27,Left foot,100,100,Same length,October,Fall,No,No,Meat,Water,Mathematics and statistics,7,11,4,Yes - broadband connection,In person,29,35,5,21,10,4,0,2,4,3,49,1,0,2,Some,Graduate degree,Rock and roll,Freeze time,Happy,Relative,Health
USA,FL,2017,6,Female,12,Right-Handed,152,8,147,1,Car,15,0.328,43,Soccer,1000,1000,1000,1000,1000,1000,22,Left foot,64,64,Same length,March,Summer,Yes,No,Salads,Water,Physical education,10,9,4,Yes - other,In person,121,138,3,2,10,4,6,0,0,6,9,2,0,3,Some,Graduate degree,Pop,Fly,Happy,Doctor or nurse,Education/Youth development
USA,FL,2021,12,Male,18,Right-Handed,176,26,180,1,Car,30,0.301,32,Tennis,600,600,700,500,400,300,26,Same length,86,80,Index finger,August,Summer,No,No,Seafood,Water,History,8,7,3,Yes - broadband connection,Text messaging,3,1,10,1,8,5,9,5,1,2,10,0,0,2,Some,Graduate degree,Reggae,Freeze time,Happy,Business person,Environment
USA,OH,2013,9,Male,15,Right-Handed,152.4,28,120,1,Bus,60,4.4,30,Football (American),0,100,100,100,1000,100,28,Same length,85,92,Ring finger,March,Fall,No,No,Poultry,Water,Physical education,8,7,4,No internet connection,In person,10,12,24,4,3,24,24,5,0,0,2,3,0,1,Some,Graduate degree,Rhythm and blues (R&B),Invisibility,Famous,Musician or singer,Education/Youth development
USA,OH,2023,7,Male,13,Right-Handed,132,24,139,1,Car,8,0.408,69,Baseball/Softball,500,900,1000,1000,800,1000,23,Right foot,70,70,Same length,November,Summer,No,No,Meat,Sports drink,Physical education,7.5,10,4,Yes - other,Internet chat or instant messaging,4,10,20,5,7,23,28,30,2,1,60,2,0,3,Some,Graduate degree,Pop,Freeze time,Happy,Sports person,Health
USA,FL,2016,12,Female,17,Right-Handed,162,21,161.5,1,Car,25,0.436,62,Athletics,100,100,100,100,900,900,21.5,Left foot,70,68,Index finger,February,Winter,Yes,No,Desserts,Water,Art,9,11,3,Yes - broadband connection,Text messaging,300,400,4,3,12,5,0,0,14,7,24,13,0,0,Some,Less than high school,Rap/Hip hop,Invisibility,Rich,Business person,Health
